,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,taxid,seqids
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,5.0,7.0,12.0,24.0,47.0,90.0,172.0,294.0,362.0,611.0,734.0,930.0,1154.0,1442.0,1780.0,2046.0,2321.0,2653.0,3012.0,3398.0,3785.0,4099.0,4623.0,4927.0,5123.0,4917.0,4589.0,3909.0,3423.0,2583.0,1837.0,1295.0,855.0,561.0,366.0,256.0,190.0,156.0,123.0,98.0,71.0,41.0,32.0,14.0,6.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,515619,CP001107.1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,9.0,29.0,46.0,82.0,110.0,201.0,286.0,375.0,552.0,639.0,852.0,1101.0,1404.0,1741.0,2057.0,2666.0,2930.0,3376.0,3924.0,4519.0,5179.0,5746.0,6239.0,6649.0,6625.0,6470.0,6053.0,5603.0,4821.0,4023.0,3202.0,2502.0,1856.0,1368.0,968.0,682.0,421.0,321.0,204.0,127.0,98.0,51.0,31.0,29.0,16.0,10.0,5.0,7.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,435591,NC_009615.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,8.0,4.0,8.0,9.0,21.0,20.0,32.0,30.0,38.0,45.0,57.0,112.0,118.0,179.0,186.0,260.0,338.0,500.0,632.0,848.0,1118.0,1405.0,1856.0,2371.0,2974.0,3476.0,3904.0,4195.0,4180.0,4054.0,3703.0,2931.0,2338.0,1789.0,1294.0,839.0,616.0,413.0,272.0,201.0,113.0,89.0,66.0,23.0,13.0,6.0,5.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,565042,NC_015067.1
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,6.0,7.0,5.0,12.0,17.0,20.0,28.0,46.0,48.0,48.0,49.0,83.0,85.0,106.0,115.0,111.0,133.0,135.0,204.0,242.0,277.0,285.0,380.0,439.0,570.0,697.0,885.0,1076.0,1467.0,1726.0,2066.0,2557.0,3114.0,3582.0,4114.0,4437.0,4559.0,4490.0,4230.0,3647.0,2997.0,2254.0,1681.0,1215.0,887.0,550.0,385.0,228.0,132.0,65.0,34.0,22.0,13.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,391904,NC_017219.1
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,6.0,12.0,23.0,32.0,61.0,111.0,150.0,207.0,237.0,273.0,350.0,401.0,530.0,637.0,934.0,1129.0,1510.0,1897.0,2310.0,3038.0,3864.0,5030.0,6450.0,8313.0,9913.0,11762.0,12884.0,12875.0,11628.0,9598.0,7187.0,4613.0,2732.0,1416.0,653.0,249.0,81.0,20.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1211579,NC_021505.1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,20.0,43.0,68.0,111.0,180.0,241.0,357.0,552.0,719.0,905.0,1109.0,1349.0,1688.0,2155.0,2563.0,3104.0,3878.0,4628.0,5401.0,5982.0,6495.0,6703.0,6718.0,6246.0,5577.0,4795.0,3756.0,2913.0,2029.0,1428.0,980.0,642.0,416.0,198.0,123.0,84.0,34.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135461,NZ_AP019714.1
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,10.0,22.0,40.0,56.0,71.0,79.0,124.0,159.0,190.0,197.0,207.0,155.0,141.0,67.0,58.0,45.0,25.0,15.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135461,NZ_AP019715.1
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,13.0,25.0,67.0,115.0,172.0,303.0,446.0,705.0,933.0,1267.0,1780.0,2071.0,2581.0,2991.0,3180.0,3386.0,3465.0,3497.0,3032.0,2667.0,2164.0,1721.0,1243.0,756.0,502.0,320.0,224.0,132.0,97.0,97.0,116.0,91.0,72.0,62.0,38.0,16.0,9.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1309,NZ_AP019720.1
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,10.0,13.0,45.0,91.0,198.0,350.0,568.0,923.0,1331.0,1762.0,2385.0,2961.0,3523.0,3991.0,4341.0,4501.0,4528.0,4048.0,3499.0,2804.0,2204.0,1412.0,931.0,612.0,339.0,180.0,125.0,87.0,67.0,41.0,65.0,48.0,62.0,73.0,95.0,82.0,59.0,42.0,14.0,13.0,13.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1282,NZ_AP019721.1
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,3.0,6.0,7.0,11.0,14.0,10.0,14.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1282,NZ_AP019722.1
